Initializing I2C devices...A
Initializing I2C devices...B
Testing device connections...
MPU6050 connection successful
-660	-160	16816	-253	90	-53	
-724	-128	16636	-264	106	-45	
-660	-192	16732	-270	75	-57	
-584	-160	16672	-259	78	-65	
-636	-204	16692	-253	84	-37	
-580	-172	16800	-292	82	-54	
-700	-224	16684	-273	86	-70	
-656	-156	16692	-284	81	-60	
-592	-232	16748	-251	101	-79	
-612	-212	16740	-282	77	-53	
-712	-104	16680	-262	99	-61	
-588	-116	16724	-246	72	-47	
-624	-164	16720	-262	83	-43	
-644	-172	16884	-291	86	-55	
-704	-196	16768	-284	109	-49	
-644	-112	16560	-284	68	-53	
-660	-264	16648	-289	103	-63	
-748	-140	16788	-286	84	-48	
-640	-180	16720	-266	91	-45	
-636	-136	16724	-278	92	-75	
-688	-168	16796	-274	93	-39	
-580	-164	16728	-288	101	-55	
-708	-220	16652	-248	94	-37	
-636	-256	16688	-265	80	-55	
-680	-108	16596	-255	67	-59	
-656	-108	16780	-282	88	-43	
-636	-204	16644	-277	99	-51	
-584	-124	16676	-276	91	-52	
-688	-200	16848	-278	86	-46	
-652	-132	16776	-278	104	-62	
-660	-108	16744	-249	72	-74	
-688	-112	16648	-294	82	-27	
-660	-196	16620	-271	88	-47	
-680	-204	16716	-277	100	-39	
-636	-116	16776	-283	94	-48	
-680	-116	16696	-285	76	-58	
-720	-232	16780	-260	91	-51	
-532	-228	16604	-271	90	-61	
-644	-152	16828	-280	80	-59	
-644	-160	16740	-245	95	-51	
-612	-204	16904	-286	86	-41	
-572	-92	16732	-280	82	-45	
-756	-200	16640	-254	89	-40	
-592	-116	16724	-296	101	-44	
-624	-224	16716	-269	95	-55	
-692	-180	16752	-281	62	-33	
-652	-96	16804	-269	75	-62	
-568	-216	16716	-270	115	-66	
-572	-112	16668	-283	99	-37	
-636	-232	16772	-251	76	-54	
-636	-144	16768	-252	69	-62	
-652	-124	16620	-253	100	-65	
-716	-168	16784	-269	86	-59	
-692	-232	16732	-234	66	-45	
-620	-128	16612	-279	102	-66	
-656	-216	16564	-289	81	-58	
-652	-96	16616	-267	102	-54	
-592	-164	16676	-262	106	-58	
-568	-180	16716	-274	84	-35	
-604	-92	16736	-274	83	-53	
-572	-156	16572	-267	91	-56	
-580	-236	16788	-278	72	-45	
-572	-76	16904	-250	94	-33	
-616	-192	16628	-271	63	-65	
-724	-164	16804	-250	92	-74	
-596	-204	16668	-274	112	-44	
-588	-160	16736	-290	90	-64	
-656	-116	16672	-293	76	-68	
-672	-200	16756	-278	77	-34	
-676	-76	16744	-298	83	-54	
-660	-172	16728	-273	69	-65	
-592	-56	16544	-263	78	-24	
-668	-260	16804	-252	86	-55	
-604	-160	16692	-279	67	-52	
-616	-176	16716	-291	90	-74	
-728	-72	16636	-293	71	-57	
-620	-100	16676	-282	69	-63	
-660	-188	16612	-262	76	-61	
-688	-120	16612	-276	84	-41	
-684	-84	16796	-274	83	-59	
-648	-184	16684	-271	80	-45	
-604	-64	16664	-263	79	-55	
-656	-172	16600	-289	77	-44	
-628	-188	16792	-283	81	-63	
-584	-144	16772	-282	105	-74	
-680	-200	16636	-262	64	-18	
-596	-184	16672	-281	96	-51	
-652	-188	16760	-286	108	-62	
-664	-88	16648	-287	94	-53	
-608	-208	16732	-269	101	-74	
-764	-32	16768	-283	73	-77	
-684	-88	16884	-272	81	-53	
-636	-156	16712	-281	81	-55	
-684	-148	16672	-274	92	-39	
-620	-232	16700	-274	86	-62	
-572	-160	16472	-292	85	-62	
-620	-132	16732	-272	98	-55	
-684	-152	16604	-281	111	-64	
-744	-152	16784	-283	73	-56	
-560	-148	16756	-284	77	-52	
-616	-208	16740	-237	80	-41	
-636	-120	16580	-285	60	-47	
-620	-224	16624	-283	84	-30	
-684	-148	16800	-266	69	-68	
-604	-212	16532	-266	82	-40	
-572	-272	16784	-257	92	-36	
-676	-220	16688	-264	80	-56	
-672	-184	16652	-281	60	-71	
-612	-164	16840	-273	95	-46	
-696	-116	16720	-279	76	-45	
-680	-176	16636	-263	66	-52	
-628	-240	16736	-263	93	-63	
-652	-216	16780	-287	70	-31	
-712	-144	16740	-284	104	-69	
-640	-176	16896	-269	59	-63	
-580	-156	16712	-295	75	-60	
-712	-116	16740	-262	105	-39	
-632	-164	16724	-277	92	-69	
-780	-244	16752	-272	73	-60	
-584	-196	16584	-255	65	-70	
-672	-272	16824	-250	68	-40	
-688	-192	16656	-293	97	-42	
-588	-148	16836	-287	85	-43	
-644	-180	16964	-267	80	-64	
-692	-188	16784	-290	64	-69	
-668	-216	16832	-258	82	-78	
-684	-152	16676	-260	91	-53	
-716	-180	16684	-257	70	-44	
-676	-152	16552	-261	72	-68	
-660	-84	16580	-268	96	-55	
-712	-140	16652	-286	70	-59	
-560	-108	16804	-278	77	-58	
-656	-228	16804	-275	89	-39	
-660	-180	16644	-280	80	-48	
-668	-296	16740	-253	82	-43	
-632	-176	16612	-275	88	-36	
-544	-296	16820	-270	72	-58	
-712	-236	16820	-288	72	-53	
-632	-308	16776	-270	95	-59	
-724	-156	16696	-289	63	-51	
-584	-144	16772	-276	96	-44	
-628	-156	16672	-263	96	-55	
-632	-212	16692	-277	70	-60	
-668	-148	16664	-280	112	-36	
-688	-128	16676	-265	90	-61	
-660	-124	16864	-248	106	-56	
-580	-176	16696	-251	60	-54	
-632	-136	16692	-287	99	-59	
-680	-200	16880	-254	81	-50	
